A1A6H3	6ILR;6ILS;6ILT;	RBSK At1g17160 F20D23.14 Ribokinase, AtRBSK, RK, EC 2.7.1.15
O04350	3MXZ;	TFCA KIS At2g30410 T06B20.22 T09D09.22 Tubulin-folding cofactor A, AtTFCA, CFA (Protein KIESEL) (TCP1-chaperonin cofactor A) (Tubulin-specific chaperone A)
O04379	3VNA;3VNB;4G0P;4G0Q;4G0X;4G0Y;4G0Z;	AGO1 At1g48410 F11A17.3 T1N15.2 Protein argonaute 1
O04492	2L2M;2L2N;3ADG;3ADI;3ADJ;	DRB1 HYL1 At1g09700 F21M12.9 Double-stranded RNA-binding protein 1 (Protein HYPONASTIC LEAVES 1) (dsRNA-binding protein 1, AtDRB1)
O04567	6FG8;6G3W;	At1g27190 T7N9.25 Probable inactive receptor kinase At1g27190
O04719	3NMV;3UJK;3UJL;	ABI2 PP2C77 At5g57050 MHM17.19 Protein phosphatase 2C 77, AtPP2C77, EC 3.1.3.16 (Protein ABSCISIC ACID-INSENSITIVE 2) (Protein phosphatase 2C ABI2, PP2C ABI2)
O22265	1X32;1X3P;1X3Q;2HUG;2N88;3DEO;3DEP;3UI2;5E4W;5E4X;	CAO CPSRP43 At2g47450 T30B22.25 Signal recognition particle 43 kDa protein, chloroplastic (Chromo protein SRP43, CpSRP43)
O22267	3MM4;3MMN;5LNM;5LNN;5N2N;	CKI1 At2g47430 T30B22.27 Histidine kinase CKI1, EC 2.7.13.3 (Protein CYTOKININ-INDEPENDENT 1)
O22456	4OX0;7NB0;	SEP3 AGL9 At1g24260 F3I6.19 Developmental protein SEPALLATA 3 (Agamous-like MADS-box protein AGL9)
O22476	3RGX;3RGZ;3RIZ;3RJ0;4LSA;4LSX;4M7E;4OH4;4Q5J;5LPB;5LPV;5LPW;5LPY;5LPZ;6FIF;	BRI1 At4g39400 F23K16.30 Protein BRASSINOSTEROID INSENSITIVE 1, AtBRI1, EC 2.7.10.1, EC 2.7.11.1 (Brassinosteroid LRR receptor kinase)
O22609	3QO6;	DEGP1 DEG1 DEGP At3g27925 K16N12.18 Protease Do-like 1, chloroplastic, EC 3.4.21.- (Protein DEGRADATION OF PERIPLASMIC PROTEINS 1, DEGP PROTEASE 1)
O22793	5YDG;	MORF2 DAL1 RIP2 At2g33430 Multiple organellar RNA editing factor 2, chloroplastic (Protein DIFFERENTIATION AND GREENING-like 1, Protein DAG-like 1) (RNA editing-interacting protein 2)
O22822	5U6M;5U6N;5U6S;5V2J;5V2K;	UGT74F2 GT SAGT1 SGT1 At2g43820 F18O19.7 UDP-glycosyltransferase 74F2, EC 2.4.1.- (AtSGT1) (Salicylic acid glucosyltransferase 1)
O23254	6SMR;	SHM4 SHMT4 At4g13930 dl3005c FCAALL.160 Serine hydroxymethyltransferase 4, AtSHMT4, EC 2.1.2.1 (Glycine hydroxymethyltransferase 4) (Serine methylase 4)
O23310	7CVO;	NFYB3 HAP3C At4g14540 dl3310w FCAALL.252 Nuclear transcription factor Y subunit B-3, AtNF-YB-3, AtNF-YB3 (Transcriptional activator HAP3C)
O23346	4MU0;4MU1;4MU3;4MU4;4QNJ;4QNK;5EKW;5EL9;5ELW;6EZJ;	HISN5B At4g14910 dl3495c Imidazoleglycerol-phosphate dehydratase 2, chloroplastic, IGPD 2, EC 4.2.1.19 (Protein HISTIDINE BIOSYNTHESIS 5B)
O23512	5HK8;	MES16 PPD At4g16690 dl4370c FCAALL.12 pFDCC methylesterase MES16, EC 3.1.1.- (Methylesterase 16, AtMES16) (Pheophorbidase, AtPPD)
O23530	5H3C;5TEC;	SNC1 BAL At4g16890 dl4475c FCAALL.51 Protein SUPPRESSOR OF npr1-1, CONSTITUTIVE 1, AtSNC1 (Disease resistance RPP5-like protein) (Probable NAD(+) hydrolase SNC1, EC 3.2.2.6)
O23680	2J3E;3BB3;3BB4;3DEF;	TOC33 PPI1 At1g02280 T7I23.11 Translocase of chloroplast 33, chloroplastic, AtToc33, EC 3.6.5.- (33 kDa chloroplast outer envelope protein) (Plastid protein import 1)
O23722	6N10;	MVD1 MDD1 MVD At2g38700 Diphosphomevalonate decarboxylase MVD1, peroxisomal, EC 4.1.1.33 (Mevalonate 5-diphosphate decarboxylase 1, AtMDD1, AtMVD1)
O24456	3DM0;	RACK1A ARCA At1g18080 T10F20.9 T10O22.6 Receptor for activated C kinase 1A (Guanine nucleotide-binding protein subunit beta-like protein A) (WD-40 repeat auxin-dependent protein ARCA)
O24606	4ZDS;	EIN3 At3g20770 MOE17.8 Protein ETHYLENE INSENSITIVE 3
O24646	2OQQ;5KWN;6QTO;6QTR;	HY5 BZIP56 At5g11260 F2I11_150 Transcription factor HY5 (Protein LONG HYPOCOTYL 5) (bZIP transcription factor 56, AtbZIP56)
O48652	3FY4;	UVR3 At3g15620 SJ11.2 (6-4)DNA photolyase, EC 4.1.99.13 (Protein UV repair defective 3)
O48737	7C65;	At1g03680 F21B7.28 F21B7_7 Thioredoxin M1, chloroplastic, AtTrxm1
O48791	4DIX;4DJG;	SCAB1 At2g26770 F18A8.14 Stomatal closure-related actin-binding protein 1
O48814	5TOS;	BIK1 At2g39660 F12L6.32 F17A14.3 Serine/threonine-protein kinase BIK1, EC 2.7.11.1 (Protein BOTRYTIS-INDUCED KINASE 1)
O48917	1I24;1I2B;1I2C;1QRR;	SQD1 At4g33030 F26P21.150 UDP-sulfoquinovose synthase, chloroplastic, EC 3.13.1.1 (Sulfite:UDP-glucose sulfotransferase) (Sulfolipid biosynthesis protein)
O48963	2Z6C;4HHD;	PHOT1 JK224 NPH1 RPT1 At3g45780 T6D9_110 Phototropin-1, EC 2.7.11.1 (Non-phototropic hypocotyl protein 1) (Root phototropism protein 1)
O49397	1IRZ;	ARR10 ARP4 At4g31920 F10N7.270 Two-component response regulator ARR10 (Receiver-like protein 4)
O49429	5MPW;5MPX;	MORF1 RIP8 At4g20020 Multiple organellar RNA editing factor 1, mitochondrial (RNA editing-interacting protein 8)
O49482	2CF5;2CF6;	CAD5 CAD-D CAD6 LCAD-D At4g34230 F28A23.10 Cinnamyl alcohol dehydrogenase 5, AtCAD5, EC 1.1.1.195 (Cinnamyl alcohol dehydrogenase D)
O49523	2YIJ;	DSEL At4g18550 F28J12.210 Phospholipase A1-IIgamma, EC 3.1.1.- (DAD1-like seedling establishment-related lipase, AtDSEL, Phospholipase DSEL)
O49686	3K3K;3K90;3NJO;3QN1;3WG8;3ZVU;4WVO;5OR2;5OR6;5UR4;5UR5;5UR6;5YGV;	PYR1 ABIP6 RCAR11 At4g17870 T6K21.50 Abscisic acid receptor PYR1 (ABI1-binding protein 6) (Protein PYRABACTIN RESISTANCE 1) (Regulatory components of ABA receptor 11)
O49839	6J5T;6J5U;6J5V;6J6I;	PBL2 APK2A KIN1 At1g14370 F14L17.14 Probable serine/threonine-protein kinase PBL2, EC 2.7.11.1 (PBS1-like protein 2) (Protein kinase 2A)
O50008	1U1H;1U1J;1U1U;1U22;	MS1 CIMS At5g17920 MPI7.9 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 1, EC 2.1.1.14 (Cobalamin-independent methionine synthase 1, AtMS1) (Vitamin-B12-independent methionine synthase 1)
O64470	6LPV;	SHT At2g19070 T20K24.8 Spermidine hydroxycinnamoyl transferase, AtSHT, EC 2.3.1.- (BAHD-like hydroxycinnamoyl transferase)
O64474	2KKH;	HMA4 At2g19110 T20K24.12 Putative cadmium/zinc-transporting ATPase HMA4, EC 7.2.2.12, EC 7.2.2.21 (Protein HEAVY METAL ATPASE 4) (Putative cadmium/zinc-transporting ATPase 2)
O64517	6W8R;6W8S;6W8T;	AMC4 AMC7 MCP2D At1g79340 YUP8H12R.4 Metacaspase-4, AtMC4, EC 3.4.22.- (Metacaspase 2d, AtMCP2d) (Metacaspase-7) [Cleaved into: Metacaspase-4 subunit p20; Metacaspase-4 subunit p10 ]
O64587	4NT1;4NT2;4NTG;4NTI;4NTO;	ACD11 At2g34690 T29F13.10 Accelerated cell death 11 (Ceramide-1-phosphate transfer protein ACD11) (Glycolipid transfer protein domain-containing protein ACD11)
O64642	6L3F;6L8K;	URT1 At2g45620 F17K2.15 UTP:RNA uridylyltransferase 1, EC 2.7.7.52
O64743	4UD8;	MEE23 EDA28 At2g34790 F19I3.2 Berberine bridge enzyme-like 15, AtBBE-like 15, EC 1.1.1.194, EC 1.1.1.195 (Protein EMBRYO SAC DEVELOPMENT ARREST 28) (Protein MATERNAL EFFECT EMBRYO ARREST 23)
O64903	1S57;1S59;	NDPK2 At5g63310 MDC12.28 Nucleoside diphosphate kinase II, chloroplastic, NDK II, NDP kinase II, NDPK II, NDPK Ia, EC 2.7.4.6
O65202	1W07;	ACX1 At4g16760 dl4405c FCAALL.119 Peroxisomal acyl-coenzyme A oxidase 1, AOX 1, EC 1.3.3.6 (Long-chain acyl-CoA oxidase, AtCX1)
O65570	5VNT;	VLN4 At4g30160 F6G3.190 F9N11.10 Villin-4
O65684	6S6Q;	CIF2 At4g34600 T4L20.180 Protein CASPARIAN STRIP INTEGRITY FACTOR 2
O65896	6L08;	CDA1 CDD DESZ At2g19570 F3P11 Cytidine deaminase 1, At-CDA1, EC 3.5.4.5
O80337	1GCC;2GCC;3GCC;	ERF1A ERF-1 ERF100 At4g17500 dl4785w FCAALL.123 Ethylene-responsive transcription factor 1A, AtERF1A (Ethylene-responsive element-binding factor 1A, EREBP-1A)
O80358	3TWK;3TWL;3TWM;	FPG1 FPG2 At1g52500 F6D8.28 Formamidopyrimidine-DNA glycosylase, Fapy-DNA glycosylase, EC 3.2.2.23, EC 4.2.99.18 (DNA-(apurinic or apyrimidinic site) lyase FPG1) (Formamidopyrimidine-DNA glycosylase 1, AtFPG-1) (Formamidopyrimidine-DNA glycosylase 2, AtFPG-2) (Protein MutM homolog 1, AtMMH-1) (Protein MutM homolog 2, AtMMH-2)
O80448	5LNT;	PDX11 PDX1L1 At2g38230 F16M14.16 Pyridoxal 5'-phosphate synthase subunit PDX1.1, AtPDX1.1, AtPDX1;2, PLP synthase subunit PDX1.1, EC 4.3.3.6 (HEVER-like protein)
O80452	2A3L;	AMPD FAC1 At2g38280 F16M14.21 AMP deaminase, AtAMPD, EC 3.5.4.6 (Protein EMBRYONIC FACTOR 1)
O80467	6LPW;	SDT At2g23510 F26B6.16 Spermidine sinapoyl-CoA acyltransferase, AtSDT, Spermidine disinapoyl transferase, EC 2.3.1.248
O80800	7A23;7AQR;7AR8;7ARB;	MTACP2 At1g65290 T8F5.6 Acyl carrier protein 2, mitochondrial (MtACP-2, ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)
O80842	2OG2;3B9Q;5L3R;	CPFTSY FTSY At2g45770 F4I18.25 Cell division protein FtsY homolog, chloroplastic (Chloroplast SRP receptor homolog, alpha subunit CpFtsY) (Fused signal recognition particle receptor)
O80852	6EZY;6F01;6F05;	GSTF9 GLUTTR GSTF7 Phi9 At2g30860 F7F1.7 Glutathione S-transferase F9, AtGSTF9, EC 2.5.1.18 (AtGSTF7) (GST class-phi member 9)
O80944	3H7R;	AKR4C8 At2g37760 F13M22 T8P21.6 Aldo-keto reductase family 4 member C8, EC 1.1.1.-
O80992	3KAZ;3KB0;3KB3;3KDH;3KDI;3KL1;3NJ0;3NJ1;3NMH;3NMP;3NMT;3NMV;3NR4;3NS2;3UJL;4LA7;4LG5;4LGA;4LGB;5JNN;5VR7;5VRO;5VS5;5VSQ;5VSR;5VT7;	PYL2 RCAR14 At2g26040 T19L18.15 Abscisic acid receptor PYL2 (PYR1-like protein 2) (Regulatory components of ABA receptor 14)
O81108	2M7E;	ACA2 At4g37640 F19F18.130 Calcium-transporting ATPase 2, plasma membrane-type, EC 7.2.2.10 (Ca(2+)-ATPase isoform 2)
O81223	1V1F;1V1G;2EHB;5O9U;	CBL4 SOS3 At5g24270 MOP9.8 Calcineurin B-like protein 4 (Protein SALT OVERLY SENSITIVE 3)
O81235	4C7U;	MSD1 MEE3 SODA At3g10920 F9F8.26 Superoxide dismutase [Mn] 1, mitochondrial, EC 1.15.1.1 (Protein MANGANESE SUPEROXIDE DISMUTASE 1, AtMSD1) (Protein MATERNAL EFFECT EMBRYO ARREST 33)
O81770	4WYI;4X1T;	MGD1 EMB2797 MGDA At4g31780 F28M20.30 Monogalactosyldiacylglycerol synthase 1, chloroplastic, AtMGD1, EC 2.4.1.46 (MGDG synthase type A) (Protein EMBRYO DEFECTIVE 2797)
O81862	3AQU;	ChiC At4g19810 T16H5.170 Class V chitinase, AtChiC, EC 3.2.1.14, EC 3.2.1.200
O82132	5OAP;	DREB2A ERF045 At5g05410 K18I23.22 Dehydration-responsive element-binding protein 2A, Protein DREB2A
O82175	3Q0B;3Q0C;3Q0D;3Q0F;4YGI;	SUVH5 SDG9 SET9 At2g35160 T4C15.17 Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH5, EC 2.1.1.-, EC 2.1.1.367 (Histone H3-K9 methyltransferase 5, H3-K9-HMTase 5) (Protein SET DOMAIN GROUP 9) (Suppressor of variegation 3-9 homolog protein 5, Su(var)3-9 homolog protein 5)
O82226	1WGP;	CNGC6 At2g23980 T29E15.18 Probable cyclic nucleotide-gated ion channel 6, AtCNGC6 (Cyclic nucleotide- and calmodulin-regulated ion channel 6)
O82261	4FLN;5ILB;	DEGP2 At2g47940 F17A22.33 T9J23.7 Protease Do-like 2, chloroplastic, EC 3.4.21.-
O82392	4N7Q;4S25;4S26;4S27;4S28;4S29;	THIC PY At2g29630 T27A16.27 Phosphomethylpyrimidine synthase, chloroplastic, EC 4.1.99.17 (Hydroxymethylpyrimidine phosphate synthase, HMP-P synthase, HMP-phosphate synthase, HMPP synthase) (Protein PYRIMIDINE REQUIRING) (Thiamine biosynthesis protein ThiC, Protein THIAMINE C)
O82480	2J0V;	ARAC7 ROP9 At4g28950 F25O24.70 Rac-like GTP-binding protein ARAC7 (GTPase protein ROP9)
O82504	7EU0;7EU1;7ROZ;7RQS;	RDR2 RDRP2 SMD1 At4g11130 F2P3.11 RNA-dependent RNA polymerase 2, AtRDRP2, EC 2.7.7.48 (Protein SILENCING MOVEMENT DEFICIENT 1) (RNA-directed RNA polymerase 2)
O82656	6KRW;6KRX;	PTP1 At1g71860 F14O23.24 Protein-tyrosine-phosphatase PTP1, EC 3.1.3.48 (Protein tyrosine phosphatase 1, AtPTP1)
P04778	5MDX;7OUI;	LHCB1.3 AB140 CAB1 At1g29930 F1N18.3 Chlorophyll a-b binding protein 1, chloroplastic (Chlorophyll a-b protein 140, CAB-140) (LHCII type I CAB-1)
P06525	4RQT;4RQU;	ADH1 ADH At1g77120 F22K20.19 Alcohol dehydrogenase class-P, AtADH, EC 1.1.1.1
P0CJ48	4YZH;	LHCB1.1 AB165 CAB2 LHCP-B At1g29920 F1N18.4 Chlorophyll a-b binding protein 2, chloroplastic (Chlorophyll a-b protein 165, CAB-165) (LHCII type I CAB-2)
P0DKH5	4C6S;4C6T;	RRS1 RCH2 RRS1-S RSH4 SLH1 WRKY52 At5g45260/At5g45270 K9E15.2/K9E15.3 Disease resistance protein RRS1 (Disease resistance protein RCH2) (Disease resistance protein SLH1) (Probable WRKY transcription factor 52) (Protein RPS4-homolog) (Protein SENSITIVE TO LOW HUMIDITY 1) (Resistance to Colletotrichum higginsianum 2 protein) (Resistance to Ralstonia solanacearum 1 protein) (WRKY DNA-binding protein 52)
P10896	4W5W;	RCA At2g39730 T5I7.3 Ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic, RA, RuBisCO activase
P13114	6DXB;6DXD;6DXE;	CHS TT4 At5g13930 MAC12.11 MAC12.14 Chalcone synthase, EC 2.3.1.74 (Naringenin-chalcone synthase) (Protein TRANSPARENT TESTA 4)
P14713	4OUR;	PHYB HY3 OOP1 At2g18790 MSF3.17 Phytochrome B (Protein LONG HYPOCOTYL 3) (Protein OUT OF PHASE 1)
P15455	7F2D;7F2I;	CRA1 CRU1 CRU4 At5g44120 MLN1.4 12S seed storage protein CRA1 (Cruciferin 1, AtCRU1) (Cruciferin A1) (Legumin-type globulin storage protein CRA1) [Cleaved into: 12S seed storage protein CRA1 alpha chain (12S seed storage protein CRA1 acidic chain); 12S seed storage protein CRA1 beta chain (12S seed storage protein CRA1 basic chain) ]
P17562	6VCZ;6VD0;6VD1;6VD2;	SAM2 At4g01850 T7B11.11 S-adenosylmethionine synthase 2, AdoMet synthase 2, EC 2.5.1.6 (Methionine adenosyltransferase 2, MAT 2)
P17597	1YBH;1YHY;1YHZ;1YI0;1YI1;1Z8N;3E9Y;3EA4;5K2O;5K3S;5K6Q;5K6R;5K6T;5WJ1;6U9H;6VZ8;	ALS AHAS CSR1 TZP5 At3g48560 T8P19.70 Acetolactate synthase, chloroplastic, AtALS, EC 2.2.1.6 (Acetohydroxy-acid synthase) (Protein CHLORSULFURON RESISTANT 1)
P18064	2XTZ;	GPA1 At2g26300 T1D16.6 Guanine nucleotide-binding protein alpha-1 subunit, GP-alpha-1
P19456	5KSD;	AHA2 At4g30190 F9N11.40 ATPase 2, plasma membrane-type, EC 7.1.2.1 (Proton pump 2)
P20115	6K5V;	CSY4 At2g44350 F4I1.16 Citrate synthase 4, mitochondrial, EC 2.3.3.16
P21218	7JK9;	PORB At4g27440 F27G19.40 Protochlorophyllide reductase B, chloroplastic, PCR B, EC 1.3.1.33 (NADPH-protochlorophyllide oxidoreductase B, POR B)
P23321	5MDX;7OUI;	PSBO1 OEC33 PSBO At5g66570 K1F13.25 Oxygen-evolving enhancer protein 1-1, chloroplastic, OEE1 (33 kDa subunit of oxygen evolving system of photosystem II) (33 kDa thylakoid membrane protein) (Manganese-stabilizing protein 1, MSP-1) (OEC 33 kDa subunit)
P23686	6VCX;6VCY;	SAM1 At1g02500 T14P4.17 T14P4_22 S-adenosylmethionine synthase 1, AdoMet synthase 1, EC 2.5.1.6 (Methionine adenosyltransferase 1, MAT 1)
P25697	6H7H;6KEW;6KEX;6KEZ;	At1g32060 T12O21.4 Phosphoribulokinase, chloroplastic, PRK, PRKase, EC 2.7.1.19 (Phosphopentokinase)
P25856	3K2B;3QV1;3RVD;6KEZ;	GAPA1 GAPA At3g26650 MLJ15.4 MLJ15_5 Glyceraldehyde-3-phosphate dehydrogenase GAPA1, chloroplastic, EC 1.2.1.13 (NADP-dependent glyceraldehydephosphate dehydrogenase A subunit 1)
P25858	4Z0H;6QUN;6QUQ;	GAPC1 GAPC GAPDH At3g04120 T6K12.26 Glyceraldehyde-3-phosphate dehydrogenase GAPC1, cytosolic, EC 1.2.1.12 (NAD-dependent glyceraldehydephosphate dehydrogenase C subunit 1)
P25865	2AAK;	UBC1 At1g14400 F14L17.17 F14L17_35 Ubiquitin-conjugating enzyme E2 1, EC 2.3.2.23 (E2 ubiquitin-conjugating enzyme 1) (Ubiquitin carrier protein 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase 1)
P28185	5XR4;5XR6;5XR7;	RABA1A ARA-2 RAB11E At1g06400 T2D23.10 T2D23_5 Ras-related protein RABA1a, AtRABA1a (Ras-related protein Ara-2) (Ras-related protein Rab11E, AtRab11E)
P29448	1XFL;	TRX1 At3g51030 F24M12.70 Thioredoxin H1, AtTrxh1 (Thioredoxin 1, AtTRX1)
P31170	5NMS;7BZW;7BZY;	HSP21 HSP25.3 At4g27670 T29A15.160 Heat shock protein 21, chloroplastic (25.3 kDa heat shock protein, chloroplastic, AtHsp25.3)
P34802	5E8L;	GGPPS1 GGPPS11 GGPS1 At4g36810 C7A10.550 Heterodimeric geranylgeranyl pyrophosphate synthase large subunit 1, chloroplastic, GGPP synthase 1, GGPS1, EC 2.5.1.- ((2E,6E)-farnesyl diphosphate synthase 1) (Dimethylallyltranstransferase 1, EC 2.5.1.1) (Farnesyl diphosphate synthase 1) (Farnesyltranstransferase 1, EC 2.5.1.29) (Geranyltranstransferase 1, EC 2.5.1.10)
P35131	4X57;	UBC8 UBC4A At5g41700 MBK23.24 Ubiquitin-conjugating enzyme E2 8, EC 2.3.2.23 (E2 ubiquitin-conjugating enzyme 8) (UBCAT4A) (Ubiquitin carrier protein 8) (Ubiquitin-conjugating enzyme E2-17 kDa 8) (Ubiquitin-protein ligase 8)
P36397	3AQ4;	ARF1 ARF1A1C BEX1 At2g47170 T3D7.2 T8I13.1 ADP-ribosylation factor 1, AtARF1 (Protein BFA-VISUALIZED EXOCYTIC TRAFFICKING DEFECTIVE 1)
P37107	2HUG;3UI2;5L3R;	FFC CPSRP54 At5g03940 F8F6_150 Signal recognition particle 54 kDa protein, chloroplastic, 54 chloroplast protein, 54CP, SRP54, cpSRP54 (FFC)
P39207	1U8W;	NDK1 NDPK1 At4g09320 T30A10.80 Nucleoside diphosphate kinase 1, EC 2.7.4.6 (Nucleoside diphosphate kinase I, NDK I, NDP kinase I, NDPK I)
P41088	4DOI;	CHI1 CFI TT5 At3g55120 T15C9_120 Chalcone--flavanone isomerase 1, Chalcone isomerase 1, EC 5.5.1.6 (Protein TRANSPARENT TESTA 5)
P42697	3T34;3T35;	DRP1A ADL1 ADL1A AG68 RSW9 At5g42080 MJC20.19 Phragmoplastin DRP1A, EC 3.6.5.- (Dynamin-like protein 1) (Dynamin-like protein 1A) (Dynamin-related protein 1A, AtDRP1A) (Protein RADIAL SWELLING 9)
P42738	4PPU;4PPV;	CM1 At3g29200 MXO21.4 Chorismate mutase 1, chloroplastic, AtCM1, EC 5.4.99.5 (CM-1)
P42799	5HDM;	GSA1 HEML1 At5g63570 MBK5.3 Glutamate-1-semialdehyde 2,1-aminomutase 1, chloroplastic, AtGSA1, GSA 1, EC 5.4.3.8 (Glutamate-1-semialdehyde aminotransferase 1, GSA-AT 1)
P42804	4N7R;4YVQ;5CHE;5YJL;	HEMA1 HEMA At1g58290 F19C14.9 Glutamyl-tRNA reductase 1, chloroplastic, GluTR, EC 1.2.1.70
P43254	5IGO;5KWN;6QTO;6QTQ;6QTR;6QTS;6QTT;6QTU;6QTV;6QTW;6QTX;	COP1 At2g32950 T21L14.11 E3 ubiquitin-protein ligase COP1, EC 2.3.2.27 (Constitutive photomorphogenesis protein 1) (RING-type E3 ubiquitin transferase COP1)
P43298	4HQ1;	TMK1 BLK1 At1g66150 F15E12.4 Receptor protein kinase TMK1, EC 2.7.11.1 (BARK1-like kinase 1) (Transmembrane kinase 1)
P45432	4LCT;	CSN1 COP11 FUS6 At3g61140 T20K12.40 COP9 signalosome complex subunit 1, CSN complex subunit 1 (Constitutive photomorphogenesis protein 11) (Protein FUSCA 6)
P46011	6I00;6I5T;6I5U;	NIT4 At5g22300 MWD9.8 Bifunctional nitrilase/nitrile hydratase NIT4, EC 3.5.5.1, EC 3.5.5.4, EC 4.2.1.65 (Cyanoalanine nitrilase) (Nitrilase 4)
P46014	1MZK;	KAPP RAG1 At5g19280 F7K24.30 T24G5.3 Protein phosphatase 2C 70, AtPP2C70, EC 3.1.3.16 (Kinase-associated protein phosphatase) (Protein ROOT ATTENUATED GROWTH 1)
P46422	1BX9;1GNW;5A4U;5A4V;5A4W;5A5K;	GSTF2 PM24.1 At4g02520 T10P11.18 Glutathione S-transferase F2, AtGSTF2, EC 2.5.1.18 (24 kDa auxin-binding protein, AtPM24) (GST class-phi member 2)
